#1
double DHWCalc(3927, 5)
#time_in_s	1_Q_flow_	2_m_flow_	3_T_set_	4_T_set_
0.0	0.0	0.0	40	40
51600.0	19037.2	0.15166666666666667	40	40
51660.0	0.0	0.0	40	40
72420.0	19037.2	0.15166666666666667	40	40
72480.0	0.0	0.0	40	40
110220.0	12761.2	0.10166666666666667	40	40
110280.0	0.0	0.0	40	40
110520.0	22175.199999999997	0.17666666666666667	40	40
110580.0	0.0	0.0	40	40
154620.0	18200.399999999998	0.145	40	40
154680.0	0.0	0.0	40	40
156900.0	12970.4	0.10333333333333333	40	40
156960.0	0.0	0.0	40	40
216300.0	16317.600000000002	0.13	40	40
216360.0	0.0	0.0	40	40
226500.0	21965.999999999996	0.175	40	40
226560.0	0.0	0.0	40	40
282360.0	22802.8	0.18166666666666667	40	40
282420.0	0.0	0.0	40	40
283680.0	16736.0	0.13333333333333333	40	40
283740.0	0.0	0.0	40	40
285180.0	14016.4	0.11166666666666666	40	40
285240.0	0.0	0.0	40	40
314460.0	14225.6	0.11333333333333333	40	40
314520.0	0.0	0.0	40	40
347880.0	15899.2	0.12666666666666668	40	40
347940.0	0.0	0.0	40	40
371820.0	17572.800000000003	0.14	40	40
371880.0	0.0	0.0	40	40
372060.0	11296.8	0.09	40	40
372120.0	0.0	0.0	40	40
372360.0	17154.399999999998	0.13666666666666666	40	40
372420.0	0.0	0.0	40	40
411180.0	16108.399999999998	0.12833333333333333	40	40
411240.0	0.0	0.0	40	40
420360.0	22384.4	0.17833333333333334	40	40
420420.0	0.0	0.0	40	40
460200.0	8368.0	0.06666666666666667	40	40
460260.0	0.0	0.0	40	40
460980.0	16317.600000000002	0.13	40	40
461040.0	0.0	0.0	40	40
526380.0	13598.000000000002	0.10833333333333334	40	40
526440.0	0.0	0.0	40	40
545820.0	10878.4	0.08666666666666667	40	40
545880.0	0.0	0.0	40	40
546060.0	15480.8	0.12333333333333334	40	40
546120.0	0.0	0.0	40	40
548700.0	16317.600000000002	0.13	40	40
548760.0	0.0	0.0	40	40
573480.0	20292.399999999998	0.16166666666666665	40	40
573540.0	0.0	0.0	40	40
575520.0	22384.4	0.17833333333333334	40	40
575580.0	0.0	0.0	40	40
611280.0	19246.399999999998	0.15333333333333332	40	40
611340.0	0.0	0.0	40	40
629400.0	12970.4	0.10333333333333333	40	40
629460.0	0.0	0.0	40	40
631500.0	13807.2	0.11	40	40
631560.0	0.0	0.0	40	40
632040.0	16317.600000000002	0.13	40	40
632100.0	0.0	0.0	40	40
648960.0	11506.0	0.09166666666666666	40	40
649020.0	0.0	0.0	40	40
659160.0	21547.6	0.17166666666666666	40	40
659220.0	0.0	0.0	40	40
661080.0	17782.0	0.14166666666666666	40	40
661140.0	0.0	0.0	40	40
662160.0	10878.4	0.08666666666666667	40	40
662220.0	0.0	0.0	40	40
677880.0	18200.399999999998	0.145	40	40
677940.0	0.0	0.0	40	40
678240.0	22802.8	0.18166666666666667	40	40
678300.0	0.0	0.0	40	40
680100.0	20919.999999999996	0.16666666666666666	40	40
680160.0	0.0	0.0	40	40
719280.0	16317.600000000002	0.13	40	40
719340.0	0.0	0.0	40	40
726780.0	8786.400000000001	0.07	40	40
726840.0	0.0	0.0	40	40
741660.0	20501.6	0.16333333333333333	40	40
741720.0	0.0	0.0	40	40
743160.0	14016.4	0.11166666666666666	40	40
743220.0	0.0	0.0	40	40
752760.0	16736.0	0.13333333333333333	40	40
752820.0	0.0	0.0	40	40
758280.0	14853.2	0.11833333333333333	40	40
758340.0	0.0	0.0	40	40
760020.0	10878.4	0.08666666666666667	40	40
760080.0	0.0	0.0	40	40
